captured: macos macOS 26.6.2 arm64 · bare-metal · 2026-09-07 · euid 501 (jsmith) · leg-hash dd4cae6837a4
== action=list
subject|issuer|thumbprint|not_before|not_after|serial|store|key_usage
CN=com.apple.systemdefault, O=System Identity|CN=com.apple.systemdefault, O=System Identity|0C24DA5DE02640D8924F5C7BCB7D5F734815228D|2026-07-18|2046-07-13|076C11D1|System.keychain|Digital Signature, Key Encipherment, Data Encipherment
CN=com.apple.kerberos.kdc, O=System Identity|CN=com.apple.kerberos.kdc, O=System Identity|3CB6CE678431CB8DD8FDCF6601AA6A4F8CAD329A|2026-07-18|2046-07-13|38F8E0C5|System.keychain|Digital Signature, Key Encipherment
C=US, O=DigiCert, Inc., CN=DigiCert TLS ECC P384 Root G5|C=US, O=DigiCert, Inc., CN=DigiCert TLS ECC P384 Root G5|17F3DE5E9F0F19E98EF61F32266E20C407AE30EE|2021-01-15|2046-01-14|09E09365ACF7D9C8B93E1C0B042A2EF3|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=US, OU=www.xrampsecurity.com, O=XRamp Security Services Inc, CN=XRamp Global Certification Authority|C=US, OU=www.xrampsecurity.com, O=XRamp Security Services Inc, CN=XRamp Global Certification Authority|B80186D1EB9C86A54104CF3054F34C52B7E558C6|2004-11-01|2035-01-01|50946CEC18EAD59C4DD597EF758FA0AD|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=CH, O=WISeKey, OU=OISTE Foundation Endorsed, CN=OISTE WISeKey Global Root GB CA|C=CH, O=WISeKey, OU=OISTE Foundation Endorsed, CN=OISTE WISeKey Global Root GB CA|0FF9407618D3D76A4B98F0A8359E0CFD27ACCCED|2014-12-01|2039-12-01|76B1205274F0858746B3F8231AF6C2C0|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=US, O=Amazon, CN=Amazon Root CA 2|C=US, O=Amazon, CN=Amazon Root CA 2|5A8CEF45D7A69859767A8C8B4496B578CF474B1A|2015-05-26|2040-05-26|066C9FD29635869F0A0FE58678F85B26BB8A37|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=IT, L=Milan, O=Actalis S.p.A./03358520967, CN=Actalis Authentication Root CA|C=IT, L=Milan, O=Actalis S.p.A./03358520967, CN=Actalis Authentication Root CA|F373B387065A28848AF2F34ACE192BDDC78E9CAC|2011-09-22|2030-09-22|570A119742C4E3CC|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=US, O=Internet Security Research Group, CN=ISRG Root X1|C=US, O=Internet Security Research Group, CN=ISRG Root X1|CABD2A79A1076A31F21D253635CB039D4329A5E8|2015-06-04|2035-06-04|8210CFB0D240E3594463E0BB63828B00|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=US, O=Apple Inc., CN=Apple Platform Code Signing ECC Root CA - G1|C=US, O=Apple Inc., CN=Apple Platform Code Signing ECC Root CA - G1|E8DA8B1EFCFE2EB2FCEB9D41981E1869A71A9C13|2024-12-13|2049-12-08|521223A7BFF487D04BD387D29127D824|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
CN=ACCVRAIZ1, OU=PKIACCV, O=ACCV, C=ES|CN=ACCVRAIZ1, OU=PKIACCV, O=ACCV, C=ES|93057A8815C64FCE882FFA9116522878BC536417|2011-05-05|2030-12-31|5EC3B7A6437FA4E0|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=US, O=Certainly, CN=Certainly Root R1|C=US, O=Certainly, CN=Certainly Root R1|A050EE0F2871F427B2126D6F509625BACC8642AF|2021-04-01|2046-04-01|8E0FF94B907168653354F4D44439B7E0|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=PL, O=Asseco Data Systems S.A., OU=Certum Certification Authority, CN=Certum Trusted Root CA|C=PL, O=Asseco Data Systems S.A., OU=Certum Certification Authority, CN=Certum Trusted Root CA|C88344C018AE9FCCF187B78F22D1C5D74584BAE5|2018-03-16|2043-03-16|1EBF5950B8C980374C06F7EB554FB5ED|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=TR, L=Gebze - Kocaeli, O=Turkiye Bilimsel ve Teknolojik Arastirma Kurumu - TUBITAK, OU=Kamu Sertifikasyon Merkezi - Kamu SM, CN=TUBITAK Kamu SM SSL Kok Sertifikasi - Surum 1|C=TR, L=Gebze - Kocaeli, O=Turkiye Bilimsel ve Teknolojik Arastirma Kurumu - TUBITAK, OU=Kamu Sertifikasyon Merkezi - Kamu SM, CN=TUBITAK Kamu SM SSL Kok Sertifikasi - Surum 1|3143649BECCE27ECED3A3F0B8F0DE4E891DDEECA|2013-11-25|2043-10-25|01|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=US, O=Google Trust Services LLC, CN=GTS Root R3|C=US, O=Google Trust Services LLC, CN=GTS Root R3|EDE571802BC892B95B833CD232683F09CDA01E46|2016-06-22|2036-06-22|0203E5B882EB20F825276D3D66|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=PL, O=Unizeto Technologies S.A., OU=Certum Certification Authority, CN=Certum Trusted Network CA|C=PL, O=Unizeto Technologies S.A., OU=Certum Certification Authority, CN=Certum Trusted Network CA|07E032E020B72C3F192F0628A2593A19A70F069E|2008-10-22|2029-12-31|0444C0|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=US, O=Certainly, CN=Certainly Root E1|C=US, O=Certainly, CN=Certainly Root E1|F9E16DDC0189CFD58245633EC5377DC2EB936F2B|2021-04-01|2046-04-01|062533B1470333275CF98D9AB9BFCCF8|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=RO, O=certSIGN, OU=certSIGN ROOT CA|C=RO, O=certSIGN, OU=certSIGN ROOT CA|FAB7EE36972662FB2DB02AF6BF03FDE87C4B2F9B|2006-07-04|2031-07-04|200605167002|SystemRootCertificates.keychain|Digital Signature, Non Repudiation, Certificate Sign, CRL Sign
C=CH, O=SwissSign AG, CN=SwissSign Gold CA - G2|C=CH, O=SwissSign AG, CN=SwissSign Gold CA - G2|D8C5388AB7301B1B6ED47AE645253A6F9F1A2761|2006-10-25|2036-10-25|BB401C43F55E4FB0|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=DE, O=T-Systems Enterprise Services GmbH, OU=T-Systems Trust Center, CN=T-TeleSec GlobalRoot Class 2|C=DE, O=T-Systems Enterprise Services GmbH, OU=T-Systems Trust Center, CN=T-TeleSec GlobalRoot Class 2|590D2D7D884F402E617EA562321765CF17D894E9|2008-10-01|2033-10-01|01|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
O=Entrust.net, OU=www.entrust.net/CPS_2048 incorp. by ref. (limits liab.), OU=(c) 1999 Entrust.net Limited, CN=Entrust.net Certification Authority (2048)|O=Entrust.net, OU=www.entrust.net/CPS_2048 incorp. by ref. (limits liab.), OU=(c) 1999 Entrust.net Limited, CN=Entrust.net Certification Authority (2048)|503006091D97D4F5AE39F7CBE7927D7D652D3431|1999-12-24|2029-07-24|3863DEF8|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=DE, O=D-Trust GmbH, CN=D-TRUST Root Class 3 CA 2 2009|C=DE, O=D-Trust GmbH, CN=D-TRUST Root Class 3 CA 2 2009|58E8ABB0361533FB80F79B1B6D29D3FF8D5F00F0|2009-11-05|2029-11-05|0983F3|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert Assured ID Root G2|C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert Assured ID Root G2|A14B48D943EE0A0E40904F3CE0A4C09193515D3F|2013-08-01|2038-01-15|0B931C3AD63967EA6723BFC3AF9AF44B|SystemRootCertificates.keychain|Digital Signature, Certificate Sign, CRL Sign
C=TW, O=Chunghwa Telecom Co., Ltd., OU=ePKI Root Certification Authority|C=TW, O=Chunghwa Telecom Co., Ltd., OU=ePKI Root Certification Authority|67650DF17E8E7E5B8240A4F4564BCFE23D69C6F0|2004-12-20|2034-12-20|15C8BD65475CAFB897005EE406D2BC9D|SystemRootCertificates.keychain|(none)
C=US, O=GeoTrust Inc., OU=(c) 2007 GeoTrust Inc. - For authorized use only, CN=GeoTrust Primary Certification Authority - G2|C=US, O=GeoTrust Inc., OU=(c) 2007 GeoTrust Inc. - For authorized use only, CN=GeoTrust Primary Certification Authority - G2|8D1784D537F3037DEC70FE578B519A99E610D7B0|2007-11-05|2038-01-18|3CB2F4480A00E2FEEB243B5E603EC36B|SystemRootCertificates.keychain|Certificate Sign, CRL Sign
