captured: windows Microsoft Windows NT 10.0.26200.0 x64 · bare-metal · 2026-09-07 · SYSTEM · leg-hash pending
== action=list
subject|issuer|thumbprint|not_before|not_after|serial|store|key_usage
Logitech Inc|DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1|FBD3B2C0991549EC5FB12FA1A994D2E0C32D8057|2025-01-09|2026-01-09|09CFB6DE3AB5124757FFEFDF3759BBF2|ROOT|Digital Signature
Microsoft Identity Verification Root Certificate Authority 2020|Microsoft Identity Verification Root Certificate Authority 2020|F40042E2E5F7E8EF8189FED15519AECE42C3BFA2|2020-04-16|2045-04-16|5498D2D1D45B1995481379C811C08799|ROOT|Digital Signature, Certificate Signing, CRL Signing
Logitech Inc|DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1|D8D11D216CC42B72EA838CAD51F4F4932A1940A0|2026-01-08|2027-01-13|0CADE25B085DD33813FD746151BF6B5E|ROOT|Digital Signature
Baltimore CyberTrust Root|Baltimore CyberTrust Root|D4DE20D05E66FC53FE1A50882C78DB2852CAE474|2000-05-12|2025-05-12|020000B9|ROOT|Certificate Signing, CRL Signing
AAA Certificate Services|AAA Certificate Services|D1EB23A46D17D68FD92564C2F1F1601764D8E349|2004-01-01|2028-12-31|01|ROOT|Certificate Signing, CRL Signing
Microsoft Root Certificate Authority|Microsoft Root Certificate Authority|CDD4EEAE6000AC7F40C3802C171E30148030C072|2001-05-09|2021-05-09|79AD16A14AA0A5AD4C7358F407132E65|ROOT|Digital Signature, Certificate Signing, CRL Signing, Non-Repudiation
Logitech Inc|DigiCert Trusted G4 Code Signing RSA4096 SHA384 2021 CA1|C27999A8CEE208F833289CB1A129666E952C7EC2|2022-04-11|2025-04-10|08FABFA8F305A513536B9F231CD3249C|ROOT|Digital Signature
Thawte Timestamping CA|Thawte Timestamping CA|BE36A4562FB2EE05DBB3D32323ADF445084ED656|1997-01-01|2020-12-31|00|ROOT|(none)
Starfield Root Certificate Authority - G2|Starfield Root Certificate Authority - G2|B51C067CEE2B0C3DF855AB2D92F4FE39D4E70F0E|2009-09-01|2037-12-31|00|ROOT|Certificate Signing, CRL Signing
Microsoft Root Authority|Microsoft Root Authority|A43489159A520F0D93D032CCAF37E7FE20A8B419|1997-01-10|2020-12-31|00C1008B3C3C8811D13EF663ECDF40|ROOT|(none)
Symantec Enterprise Mobile Root for Microsoft|Symantec Enterprise Mobile Root for Microsoft|92B46C76E13054E104F230517E6E504D43AB10B5|2012-03-15|2032-03-14|0F6B552F9EBF907B0F6629A9BDF4D8CE|ROOT|Certificate Signing, CRL Signing
Microsoft Root Certificate Authority 2011|Microsoft Root Certificate Authority 2011|8F43288AD272F3103B6FB1428485EA3014C0BCFE|2011-03-22|2036-03-22|3F8BC8B5FC9FB29643B569D66C42E144|ROOT|Digital Signature, Certificate Signing, CRL Signing
Microsoft Authenticode(tm) Root Authority|Microsoft Authenticode(tm) Root Authority|7F88CD7223F3C813818C994614A89C99FA3B5247|1995-01-01|1999-12-31|01|ROOT|(none)
Blizzard Battle.net Local Cert|Blizzard Battle.net Local Cert|7E7D281D1DCA51CCE3C81E42320BB9F898AB25B8|2023-03-23|2033-03-20|054082|ROOT|(none)
DigiCert High Assurance EV Root CA|DigiCert High Assurance EV Root CA|5FB7EE0633E259DBAD0C4C9AE6D38F1A61C7DC25|2006-11-10|2031-11-10|02AC5C266A0B409B8F0B79F2AE462577|ROOT|Digital Signature, Certificate Signing, CRL Signing
Microsoft Root Certificate Authority 2010|Microsoft Root Certificate Authority 2010|3B1EFD3A66EA28B16697394703A72CA340A05BD5|2010-06-23|2035-06-23|28CC3A25BFBA44AC449A9B586B4339AA|ROOT|Digital Signature, Certificate Signing, CRL Signing
Microsoft ECC TS Root Certificate Authority 2018|Microsoft ECC TS Root Certificate Authority 2018|31F9FC8BA3805986B721EA7295C65B3A44534274|2018-02-27|2043-02-27|153875E1647ED1B047B4EFAF41128245|ROOT|Digital Signature, Certificate Signing, CRL Signing
Copyright (c) 1997 Microsoft Corp.|Copyright (c) 1997 Microsoft Corp.|245C97DF7514E7CF2DF8BE72AE957B9E04741E85|1997-05-13|1999-12-30|01|ROOT|(none)
NO LIABILITY ACCEPTED, (c)97 VeriSign, Inc.|NO LIABILITY ACCEPTED, (c)97 VeriSign, Inc.|18F7C1FCC3090203FD5BAA2F861A754976C8DD25|1997-05-12|2004-01-07|4A19D2388C82591CA55D735F155DDCA3|ROOT|(none)
Microsoft ECC Product Root Certificate Authority 2018|Microsoft ECC Product Root Certificate Authority 2018|06F1AA330B927B753A40E68CDF22E34BCBEF3352|2018-02-27|2043-02-27|14982666DC7CCD8F4053677BB999EC85|ROOT|Digital Signature, Certificate Signing, CRL Signing
Microsoft Time Stamp Root Certificate Authority 2014|Microsoft Time Stamp Root Certificate Authority 2014|0119E81BE9A14CD8E22F40AC118C687ECBA3F4D8|2014-10-22|2039-10-22|2FD67A432293329045E953343EE27466|ROOT|Digital Signature, Certificate Signing, CRL Signing
AC RAIZ FNMT-RCM|AC RAIZ FNMT-RCM|EC503507B215C4956219E2A89A5B42992C4C2C20|2008-10-29|2030-01-01|5D938D306736C8061D1AC754846907|ROOT|Certificate Signing, CRL Signing
GTS Root R1|GTS Root R1|E58C1CC4913B38634BE9106EE3AD8E6B9DD9814A|2016-06-22|2036-06-22|0203E5936F31B01349886BA217|ROOT|Digital Signature, Certificate Signing, CRL Signing
IdenTrust Commercial Root CA 1|IdenTrust Commercial Root CA 1|DF717EAA4AD94EC9558499602D48DE5FBCF03A25|2014-01-16|2034-01-16|0A0142800000014523C844B500000002|ROOT|Certificate Signing, CRL Signing
DigiCert Global Root G2|DigiCert Global Root G2|DF3C24F9BFD666761B268073FE06D1CC8D4F82A4|2013-08-01|2038-01-15|033AF1E6A711A9A0BB2864B11D09FAE5|ROOT|Digital Signature, Certificate Signing, CRL Signing
QuoVadis Root Certification Authority|QuoVadis Root Certification Authority|DE3F40BD5093D39B6C60F6DABC076201008976C9|2001-03-19|2021-03-17|3AB6508B|ROOT|Certificate Signing, CRL Signing
DigiCert Trusted Root G4|DigiCert Trusted Root G4|DDFB16CD4931C973A2037D3FC83A4D7D775D05E4|2013-08-01|2038-01-15|059B1B579E8E2132E23907BDA777755C|ROOT|Digital Signature, Certificate Signing, CRL Signing
DST Root CA X3|DST Root CA X3|DAC9024F54D8F6DF94935FB1732638CA6AD77C13|2000-09-30|2021-09-30|44AFB080D6A327BA893039862EF8406B|ROOT|Certificate Signing, CRL Signing
GlobalSign|GlobalSign|D69B561148F01C77C54578C10926DF5B856976AD|2009-03-18|2029-03-18|04000000000121585308A2|ROOT|Certificate Signing, CRL Signing
Baltimore CyberTrust Root|Baltimore CyberTrust Root|D4DE20D05E66FC53FE1A50882C78DB2852CAE474|2000-05-12|2025-05-12|020000B9|ROOT|Certificate Signing, CRL Signing
AAA Certificate Services|AAA Certificate Services|D1EB23A46D17D68FD92564C2F1F1601764D8E349|2004-01-01|2028-12-31|01|ROOT|Certificate Signing, CRL Signing
