captured: macos macOS 26.6.2 arm64 · bare-metal · 2026-09-07 · euid 501 (alex) · leg-hash pending
== action=listening
listen|tcp|::1|5432|1533
listen|tcp|127.0.0.1|5432|1533
listen|tcp|127.0.0.1|7768|1440
listen|tcp|*|57621|1440
listen|tcp|*|49582|1440
listen|tcp|127.0.0.1|22636|1302
listen|tcp|127.0.0.1|49293|1301
listen|tcp|*|7000|973
listen|tcp|*|7000|973
listen|tcp|*|5000|973
listen|tcp|*|5000|973
listen|tcp|*|3283|898
listen|tcp|*|49429|872
listen|tcp|*|49429|872
[result_status] UNDECLARED / UNKNOWN / 

== action=connections
conn|tcp|100.109.177.77|52882|100.123.53.121|22|9653
conn|tcp|192.168.0.66|52771|160.79.104.10|443|9039
conn|tcp|192.168.0.66|52775|160.79.104.10|443|9039
conn|tcp|192.168.0.66|52773|160.79.104.10|443|9039
conn|tcp|192.168.0.66|52789|160.79.104.10|443|9039
conn|tcp|192.168.0.66|52801|34.149.66.165|443|9039
conn|tcp|192.168.0.66|52777|160.79.104.10|443|9039
conn|tcp|192.168.0.66|52779|160.79.104.10|443|9039
conn|tcp|192.168.0.66|52781|160.79.104.10|443|9039
conn|tcp|192.168.0.66|52856|160.79.104.10|443|9039
conn|tcp|192.168.0.66|52783|160.79.104.10|443|9039
conn|tcp|192.168.0.66|52785|160.79.104.10|443|9039
conn|tcp|192.168.0.66|52744|160.79.104.10|443|9001
conn|tcp|192.168.0.66|52748|160.79.104.10|443|9001
conn|tcp|192.168.0.66|52746|160.79.104.10|443|9001
conn|tcp|192.168.0.66|52760|160.79.104.10|443|9001
conn|tcp|192.168.0.66|52791|160.79.104.10|443|9001
conn|tcp|192.168.0.66|52887|160.79.104.10|443|9001
conn|tcp|192.168.0.66|52750|160.79.104.10|443|9001
conn|tcp|192.168.0.66|52890|160.79.104.10|443|9001
conn|tcp|192.168.0.66|52754|160.79.104.10|443|9001
conn|tcp|192.168.0.66|52892|160.79.104.10|443|9001
conn|tcp|192.168.0.66|52756|160.79.104.10|443|9001
conn|tcp|192.168.0.66|52758|160.79.104.10|443|9001
conn|tcp|192.168.0.66|52721|160.79.104.10|443|8979
conn|tcp|192.168.0.66|52725|160.79.104.10|443|8979
conn|tcp|192.168.0.66|52723|160.79.104.10|443|8979
conn|tcp|192.168.0.66|52727|160.79.104.10|443|8979
conn|tcp|192.168.0.66|52729|160.79.104.10|443|8979
conn|tcp|192.168.0.66|52731|160.79.104.10|443|8979
conn|tcp|192.168.0.66|52733|160.79.104.10|443|8979
conn|tcp|192.168.0.66|52735|160.79.104.10|443|8979
conn|tcp|192.168.0.66|52737|160.79.104.10|443|8979
conn|tcp|192.168.0.66|52645|35.186.224.33|443|1491
conn|tcp|192.168.0.66|52713|192.168.0.61|8009|1491
conn|tcp|192.168.0.66|52841|192.168.0.246|8008|1491
conn|tcp|192.168.0.66|52846|192.168.0.61|8008|1491
conn|tcp|192.168.0.66|52714|192.168.0.246|8009|1491
conn|tcp|192.168.0.66|51834|104.199.65.9|4070|1440
conn|tcp|192.168.0.66|50684|35.186.224.33|443|1440
conn|tcp|192.168.0.66|52802|185.199.108.133|443|1437
conn|tcp|192.168.0.66|52805|140.82.112.26|443|1437
conn|tcp|192.168.0.66|52804|185.199.108.215|443|1437
conn|tcp|192.168.0.66|52848|160.79.104.10|443|1390
conn|tcp|192.168.0.66|52858|34.149.66.165|443|1390
conn|tcp|192.168.0.66|52864|160.79.104.10|443|1390
conn|tcp|192.168.0.66|52871|160.79.104.10|443|1390
conn|tcp|192.168.0.66|52894|160.79.104.10|443|1390
conn|tcp|192.168.0.66|52876|160.79.104.10|443|1370
conn|tcp|192.168.0.66|52799|34.149.66.165|443|1370
conn|tcp|192.168.0.66|52808|160.79.104.10|443|1370
conn|tcp|192.168.0.66|52813|160.79.104.10|443|1370
conn|tcp|192.168.0.66|52850|142.251.30.121|443|1343
conn|tcp|192.168.0.66|52851|15.197.251.99|443|1343
conn|tcp|192.168.0.66|51924|76.223.66.180|443|1343
conn|tcp|192.168.0.66|52852|34.117.136.13|443|1343
conn|tcp|192.168.0.66|52862|17.253.37.205|443|1274
conn|tcp|192.168.0.66|52895|20.42.65.93|443|1263
conn|tcp|192.168.0.66|52762|104.18.40.226|443|1231
conn|tcp|127.0.0.1|49255|127.0.0.1|49243|1182
conn|tcp|192.168.0.66|49434|17.56.9.32|993|1181
conn|tcp|192.168.0.66|49621|17.56.9.32|993|1181
conn|tcp|192.168.0.66|52761|34.107.243.93|443|1180
conn|tcp|192.168.0.66|51913|18.208.91.13|8882|1180
conn|tcp|192.168.0.66|52334|157.240.225.61|443|1176
conn|tcp|192.168.0.66|52888|2.16.176.144|443|878
conn|tcp|fe80:7::9e:c46b:750c:b2eb|49429|fe80:7::c4:41bd:6a70:9836|49193|872
conn|tcp|fe80:7::9e:c46b:750c:b2eb|49429|fe80:7::10fd:2cfa:5d41:de61|49566|872
[result_status] UNDECLARED / UNKNOWN / 

