captured: macos macOS 26.6.2 arm64 · bare-metal · 2026-09-21 · euid 501 · leg-hash 504f046cb56e
== action=managers
status|managers|supported|-
manager|homebrew|present|-|/opt/homebrew|taps=0;formulae=66;casks=0|-
[result_status] OK / FULL / 

== action=packages
status|packages|supported|-
package|homebrew|actionlint|1.7.12|formula
package|homebrew|ada-url|4.0.0|formula
package|homebrew|autoconf|2.73|formula
package|homebrew|automake|1.18.1_1|formula
package|homebrew|bash|5.3.15|formula
package|homebrew|blake3|1.8.7|formula
package|homebrew|brotli|1.2.0|formula
package|homebrew|c-ares|1.34.8|formula
package|homebrew|ca-certificates|2026-08-13|formula
package|homebrew|ccache|4.13.6_1|formula
package|homebrew|cmake|4.4.2|formula
package|homebrew|erlang@28|28.5.0.5|formula
package|homebrew|fmt|12.2.0|formula
package|homebrew|gettext|1.0|formula
package|homebrew|gh|2.97.0|formula
package|homebrew|giflib|6.1.3|formula
package|homebrew|git|2.55.0|formula
package|homebrew|git-filter-repo|2.47.0|formula
package|homebrew|gmp|6.3.0|formula
package|homebrew|hdrhistogram_c|0.11.10|formula
package|homebrew|hiredis|1.4.1|formula
package|homebrew|icu4c@78|78.3|formula
package|homebrew|isl|0.28|formula
package|homebrew|jpeg-turbo|3.2.0|formula
package|homebrew|json-c|0.19|formula
package|homebrew|krb5|1.22.2|formula
package|homebrew|libffi|3.8.0|formula
package|homebrew|libmpc|1.4.1|formula
package|homebrew|libnghttp2|1.70.0|formula
package|homebrew|libnghttp3|1.18.0|formula
package|homebrew|libngtcp2|1.25.0|formula
package|homebrew|libpng|1.6.58|formula
package|homebrew|libtiff|4.7.2|formula
package|homebrew|libtool|2.6.2|formula
package|homebrew|libunistring|1.4.2|formula
package|homebrew|libuv|1.52.1|formula
package|homebrew|llhttp|9.4.3|formula
package|homebrew|lz4|1.10.0|formula
package|homebrew|m4|1.4.21|formula
package|homebrew|merve|1.2.2_2|formula
package|homebrew|meson|1.12.0|formula
package|homebrew|mingw-w64|14.0.0_3|formula
package|homebrew|mpdecimal|4.0.1|formula
package|homebrew|mpfr|4.2.2|formula
package|homebrew|nbytes|0.1.4|formula
package|homebrew|ncurses|6.6|formula
package|homebrew|ninja|1.13.2|formula
package|homebrew|node|26.7.0|formula
package|homebrew|openssl@3|3.6.3|formula
package|homebrew|pcre2|10.47_1|formula
package|homebrew|pkgconf|3.0.5|formula
package|homebrew|postgresql@18|18.6|formula
package|homebrew|python@3.14|3.14.7|formula
package|homebrew|readline|8.3.3|formula
package|homebrew|rebar3|3.27.0|formula
package|homebrew|shellcheck|0.11.0|formula
package|homebrew|simdjson|4.6.7|formula
package|homebrew|simdutf|9.1.0|formula
package|homebrew|sqlite|3.53.4|formula
package|homebrew|unixodbc|2.3.14|formula
package|homebrew|uvwasi|0.0.23|formula
package|homebrew|webp|1.6.0|formula
package|homebrew|wxwidgets@3.2|3.2.11|formula
package|homebrew|xxhash|0.8.3|formula
package|homebrew|xz|5.8.3|formula
package|homebrew|zstd|1.5.7_1|formula
[result_status] OK / FULL / 

