obs_type	windows	linux	macos
process.crashed	true	true	true
process.hung	true	true	true
process.crashed_managed	true	false	false
process.file_access_failure	true	false	false
app.sxs_error	true	false	false
app.activation_failed	true	false	false
app.com_failed	true	false	false
app.error_popup	true	false	false
app.shutdown_blocked	true	false	false
app.push_notification_error	true	false	false
app.file_association_reset	true	false	false
app.staterepo_error	true	false	false
os.boot	true	false	false
boot.degraded_app	true	false	false
boot.degraded_driver	true	false	false
boot.degraded_service	true	false	false
boot.degraded_device	true	false	false
boot.fast_startup_failed	true	false	false
os.shutdown	true	false	false
shutdown.degraded	true	false	false
os.restart_initiated	true	false	false
os.standby	true	false	false
os.standby_degraded	true	false	false
os.modern_standby_exit	true	false	false
os.resume_report	true	false	false
os.uptime_report	true	true	true
service.crashed	true	true	true
service.start_failed	true	false	false
service.start_timeout	true	false	false
service.hung	true	true	false
service.unresponsive	true	false	false
service.logon_failed	true	false	false
service.recovery_failed	true	false	false
service.shutdown_failed	true	false	false
service.dependency_failed	true	false	false
os.bugcheck	true	true	true
os.power_loss	true	false	false
os.dirty_shutdown	true	true	false
os.time_unsynced	true	true	false
os.activation_failed	true	false	false
os.vss_error	true	false	false
os.shadow_copies_lost	true	false	false
os.crashdump_disabled	true	false	false
display.driver_reset	true	false	false
display.dwm_exited	true	false	false
memory.exhausted	true	true	true
hw.error	true	true	true
hw.device_start_failed	true	false	false
hw.driver_load_failed	true	false	false
hw.user_driver_error	true	false	false
hw.cpu_throttled	true	true	true
hw.battery_error	true	false	false
hw.tpm_error	true	false	false
disk.error	true	true	false
disk.smart_failure	true	false	true
disk.port_reset	true	false	false
storage.low	true	true	true
perf.cpu_sustained	true	true	false
perf.memory_pressure	true	true	false
perf.disk_latency_high	true	true	false
fs.corruption	true	true	true
fs.write_lost	true	false	false
fs.flush_failed	true	false	false
fs.database_corrupt	true	false	false
fs.hive_recovered	true	false	false
fs.autochk_ran	true	false	false
network.wifi_drop	true	false	true
network.wifi_connect_failed	true	false	false
network.adapter_driver_dump	true	false	false
network.adapter_reset	true	false	false
network.dns_timeout	true	false	false
network.dns_register_failed	true	false	false
network.dhcp_failed	true	false	false
network.vpn_failed	true	false	false
network.smb_failed	true	false	false
network.smb_write_lost	true	false	false
network.ip_conflict	true	false	false
network.name_conflict	true	false	false
network.port_exhaustion	true	false	false
session.rdp_disconnected	true	false	false
logon.temp_profile	true	false	false
logon.profile_locked	true	false	false
logon.slow_subscriber	true	false	false
logon.folder_redirect_failed	true	false	false
logon.no_dc	true	false	true
logon.winlogon_terminated	true	false	false
logon.machine_trust_failed	true	false	false
logon.biometric_error	true	false	false
logon.hello_error	true	false	false
logon.aad_token_error	true	false	false
security.kerberos_error	true	false	false
security.auth_error	true	false	false
security.rtp_disabled	true	false	false
security.rtp_error	true	false	false
security.threat_detected	true	false	false
security.threat_action_failed	true	false	false
security.av_update_failed	true	false	false
security.tamper_blocked	true	false	false
security.tls_alert	true	false	false
security.bitlocker_error	true	false	false
security.cert_enroll_failed	true	false	false
update.failed	true	false	true
update.check_failed	true	false	false
update.download_failed	true	false	false
update.transfer_failed	true	false	false
app_install.failed	true	false	false
app_uninstall.failed	true	false	false
app_install.appx_failed	true	false	false
gpo.failed	true	false	false
gpo.cse_failed	true	false	false
mgmt.mdm_error	true	false	true
print.failed	true	false	true
print.driver_install_failed	true	false	false
print.plugin_failed	true	false	false
