source	os	status	mechanism
process	windows	supported	etw
process	linux	supported	procfs
process	macos	constrained	endpoint_security
tcp	windows	supported	iphlpapi
tcp	linux	supported	procfs
tcp	macos	constrained	nstat
tcp	macos	constrained	proc_pidfdinfo
service	windows	supported	scm
service	linux	constrained	systemctl
service	macos	constrained	launchctl
user	windows	supported	wts
user	linux	constrained	utmp
user	macos	constrained	utmpx
perf	windows	supported	ntcounters
perf	linux	supported	procfs
perf	macos	planned	host_statistics
procperf	windows	supported	ntsysinfo
procperf	linux	supported	procfs
procperf	macos	planned	libproc
netqual	linux	supported	inetdiag
netqual	windows	constrained	estats
netqual	macos	constrained	nstat
module	windows	supported	etw
module	linux	planned	auditd
module	macos	planned	endpoint_security
software	windows	supported	registry
software	linux	planned	dpkg_rpm
software	macos	planned	pkgutil
arp	windows	supported	iphlpapi
arp	linux	planned	procfs
arp	macos	planned	route_sysctl
dns	windows	supported	dnsapi
dns	linux	planned	systemd-resolved
dns	macos	planned	dscacheutil
netconn	windows	supported	wevtapi
netconn	linux	planned	journald
netconn	macos	planned	oslog
mapdrive	windows	supported	wnet
mapdrive	linux	constrained	procfs
mapdrive	macos	planned	getfsstat
